,region,cell_id,stim_id,firing_rate_mean,firing_rate_std,num_samples,bin_width
372,motor_cortex,3463,16,14.11111111111111,39.88294279585804,1800,0.01
373,motor_cortex,3463,17,13.35,38.177300233601656,2000,0.01
374,motor_cortex,3471,1,26.4,50.4411752051639,2000,0.01
375,motor_cortex,3471,2,27.5,50.843313437074784,2000,0.01
376,motor_cortex,3471,3,26.05,50.07645480325887,2000,0.01
377,motor_cortex,3471,4,30.95,53.838153510189215,2000,0.01
378,motor_cortex,3471,5,26.3,49.391596095716984,2000,0.01
379,motor_cortex,3471,6,27.4,50.897301182222016,2000,0.01
380,motor_cortex,3471,7,28.7,52.89337250003269,2000,0.01
381,motor_cortex,3471,8,27.65,50.41575521785918,2000,0.01
382,motor_cortex,3471,9,28.6,51.99415059261884,2000,0.01
383,motor_cortex,3471,10,24.55,46.94037920170443,2000,0.01
384,motor_cortex,3471,11,22.85,46.30280201820799,2000,0.01
385,motor_cortex,3471,12,28.25,52.13728654546729,2000,0.01
386,motor_cortex,3471,13,24.8,47.39285854979375,2000,0.01
387,motor_cortex,3471,14,29.05,50.817208643796775,2000,0.01
388,motor_cortex,3471,15,26.6,50.036904839557764,2000,0.01
389,motor_cortex,3471,16,29.11111111111111,51.62494505097578,1800,0.01
390,motor_cortex,3471,17,31.15,52.97245076707455,2000,0.01
391,motor_cortex,3491,1,33.25,56.31183722367572,2000,0.01
392,motor_cortex,3491,2,40.1,60.859197505064785,2000,0.01
393,motor_cortex,3491,3,35.25,58.7721412090044,2000,0.01
394,motor_cortex,3491,4,40.35,62.119295741755856,2000,0.01
395,motor_cortex,3491,5,35.7,58.79828755422773,2000,0.01
396,motor_cortex,3491,6,34.4,57.69145649120007,2000,0.01
397,motor_cortex,3491,7,34.9,57.56428426908222,2000,0.01
398,motor_cortex,3491,8,36.0,60.711143305498105,2000,0.01
399,motor_cortex,3491,9,33.9,57.37975442705423,2000,0.01
400,motor_cortex,3491,10,38.95,59.41096137217091,2000,0.01
401,motor_cortex,3491,11,35.7,59.81052289793714,2000,0.01
402,motor_cortex,3491,12,34.7,58.71655487942436,2000,0.01
403,motor_cortex,3491,13,25.75,51.60687100151765,2000,0.01
404,motor_cortex,3491,14,34.75,58.64432690839989,2000,0.01
405,motor_cortex,3491,15,35.65,57.928882068350354,2000,0.01
406,motor_cortex,3491,16,34.833333333333336,56.515209205976866,1800,0.01
407,motor_cortex,3491,17,37.35,59.76423162470047,2000,0.01
408,motor_cortex,3492,1,11.65,32.8605752947868,2000,0.01
409,motor_cortex,3492,2,10.0,30.667087163888887,2000,0.01
410,motor_cortex,3492,3,10.15,31.18435075267613,2000,0.01
411,motor_cortex,3492,4,12.8,34.157625381250455,2000,0.01
412,motor_cortex,3492,5,9.15,30.028792253137482,2000,0.01
413,motor_cortex,3492,6,8.45,28.35488493628344,2000,0.01
414,motor_cortex,3492,7,8.85,28.75919062704581,2000,0.01
415,motor_cortex,3492,8,11.45,32.47190650941484,2000,0.01
416,motor_cortex,3492,9,9.25,28.980293799655623,2000,0.01
417,motor_cortex,3492,10,10.95,31.711201493322108,2000,0.01
418,motor_cortex,3492,11,10.2,31.248171532300177,2000,0.01
419,motor_cortex,3492,12,11.2,32.32773640808514,2000,0.01
420,motor_cortex,3492,13,10.1,30.470546879134876,2000,0.01
